iter	Passed	Remaining
143	2458	14613
144	2488	14674
145	2507	14665
146	2528	14674
147	2549	14679
148	2565	14654
149	2589	14675
150	2611	14680
151	2635	14704
152	2655	14700
153	2689	14775
154	2704	14742
155	2739	14823
156	2763	14838
157	2784	14841
158	2786	14737
159	2799	14695
160	2822	14707
161	2837	14678
162	2857	14674
163	2871	14637
164	2881	14583
165	2897	14558
166	2911	14523
167	2927	14497
168	2936	14439
169	2951	14411
170	2962	14361
171	2977	14331
172	2986	14277
173	2995	14221
174	3010	14190
175	3025	14166
176	3035	14115
177	3051	14093
178	3081	14132
179	3098	14116
180	3121	14126
181	3128	14062
182	3141	14023
183	3153	13985
184	3168	13956
185	3180	13920
186	3194	13889
187	3206	13847
188	3225	13838
189	3239	13810
190	3260	13810
191	3270	13761
192	3284	13733
193	3314	13770
194	3337	13779
195	3357	13770
196	3365	13717
197	3380	13693
198	3390	13645
199	3404	13619
200	3415	13575
201	3430	13551
202	3441	13511
203	3457	13490
204	3467	13449
205	3497	13481
206	3508	13439
207	3527	13431
208	3533	13374
209	3552	13365
210	3567	13340
211	3582	13317
212	3594	13280
213	3609	13255
214	3619	13215
215	3629	13173
216	3648	13164
217	3673	13177
218	3683	13137
219	3697	13110
220	3709	13076
221	3727	13063
222	3749	13063
223	3760	13028
224	3774	13002
225	3784	12962
226	3817	12998
227	3827	12959
228	3843	12941
229	3850	12889
230	3864	12866
231	3874	12827
232	3883	12784
233	3896	12753
234	3913	12739
235	3927	12712
236	3943	12694
237	3955	12664
238	3972	12649
239	3991	12638
240	4003	12606
241	4017	12582
242	4028	12549
243	4040	12519
244	4054	12495
245	4064	12458
246	4078	12434
247	4089	12401
248	4104	12378
249	4113	12340
250	4131	12327
251	4142	12297
252	4153	12263
253	4170	12248
254	4183	12222
255	4193	12188
256	4208	12168
257	4220	12138
258	4235	12118
259	4245	12084
260	4259	12061
261	4272	12034
262	4282	12000
263	4299	11985
264	4326	12000
265	4344	11988
266	4364	11980
267	4382	11968
268	4389	11927
269	4401	11900
270	4411	11867
271	4424	11843
272	4437	11817
273	4448	11787
274	4463	11766
275	4472	11733
276	4487	11712
277	4502	11692
278	4512	11661
279	4525	11638
280	4535	11605
281	4551	11587
282	4562	11558
283	4576	11537
284	4589	11513
285	4601	11488
286	4617	11471
287	4632	11451
288	4640	11415
289	4660	11410
290	4670	11380
291	4689	11369
292	4700	11342
293	4714	11321
294	4725	11291
295	4747	11291
296	4761	11269
297	4773	11245
298	4786	11223
299	4793	11185
300	4807	11163
301	4817	11134
302	4832	11116
303	4842	11087
304	4855	11064
305	4868	11040
306	4883	11023
307	4899	11008
308	4913	10987
309	4925	10964
310	4944	10955
311	4954	10926
312	4969	10907
313	4982	10884
314	4993	10859
315	5010	10845
316	5028	10834
317	5044	10818
318	5061	10805
319	5071	10777
320	5086	10758
321	5098	10734
322	5109	10710
323	5126	10696
324	5140	10675
325	5154	10657
326	5164	10629
327	5179	10612
328	5190	10586
329	5205	10568
330	5216	10543
331	5232	10527
332	5245	10505
333	5255	10479
334	5269	10460
335	5282	10438
336	5292	10412
337	5308	10396
338	5317	10368
339	5331	10349
340	5344	10328
341	5355	10303
342	5366	10278
343	5379	10259
344	5392	10238
345	5409	10225
346	5421	10202
347	5439	10190
348	5456	10178
349	5484	10185
350	5490	10152
351	5513	10149
352	5546	10165
353	5567	10159
354	5574	10127
355	5590	10112
356	5600	10086
357	5613	10067
358	5624	10042
359	5638	10024
360	5646	9994
361	5658	9973
362	5669	9948
363	5684	9932
364	5700	9917
365	5710	9892
366	5732	9886
367	5743	9863
368	5758	9847
369	5765	9816
370	5781	9802
371	5792	9778
372	5807	9762
373	5818	9738
374	5833	9723
375	5843	9697
376	5858	9680
377	5870	9659
378	5875	9626
379	5889	9609
380	5900	9586
381	5915	9570
382	5927	9548
383	5943	9533
384	5954	9512
385	5970	9496
386	5981	9474
387	5997	9460
388	6014	9447
389	6031	9434
390	6041	9410
391	6056	9393
392	6067	9371
393	6082	9355
394	6092	9331
395	6107	9314
396	6119	9295
397	6130	9273
398	6147	9260
399	6162	9244
400	6175	9224
401	6187	9204
402	6197	9180
403	6212	9164
404	6223	9143
405	6236	9124
406	6246	9101
407	6260	9083
408	6270	9060
409	6285	9045
410	6298	9026
411	6314	9012
412	6319	8981
413	6331	8961
414	6344	8943
415	6357	8924
416	6366	8900
417	6383	8888
418	6402	8877
419	6413	8857
420	6431	8844
421	6443	8825
422	6458	8809
423	6476	8798
424	6486	8775
425	6500	8758
426	6513	8741
427	6531	8729
428	6548	8716
429	6561	8698
430	6575	8681
431	6584	8657
432	6598	8640
433	6608	8618
434	6623	8603
435	6632	8580
436	6646	8562
437	6669	8557
438	6679	8535
439	6694	8519
440	6705	8499
441	6717	8480
442	6733	8465
443	6747	8448
444	6754	8423
445	6767	8405
446	6777	8384
447	6791	8368
448	6801	8346
449	6815	8330
450	6828	8311
451	6840	8293
452	6853	8276
453	6865	8256
454	6877	8237
455	6887	8216
456	6901	8200
457	6911	8179
458	6926	8163
459	6939	8145
460	6951	8127
461	6963	8109
462	6973	8088
463	6985	8069
464	6993	8046
465	7021	8045
466	7061	8059
467	7078	8046
468	7090	8027
469	7106	8013
470	7116	7993
471	7133	7980
472	7145	7961
473	7155	7940
474	7163	7917
475	7175	7899
476	7187	7880
477	7204	7867
478	7219	7851
479	7228	7830
480	7242	7814
481	7252	7794
482	7269	7781
483	7299	7782
484	7317	7770
485	7329	7752
486	7339	7731
487	7356	7718
488	7368	7699
489	7377	7678
490	7391	7662
491	7402	7643
492	7416	7627
493	7426	7607
494	7441	7591
495	7447	7567
496	7461	7551
497	7471	7531
498	7485	7515
499	7497	7497
500	7517	7487
501	7538	7478
502	7548	7458
503	7564	7444
504	7573	7423
505	7589	7409
506	7613	7403
507	7638	7397
508	7652	7381
509	7665	7365
510	7675	7345
511	7689	7329
512	7702	7312
513	7718	7298
514	7733	7283
515	7757	7276
516	7773	7261
517	7783	7242
518	7798	7227
519	7812	7211
520	7822	7191
521	7836	7175
522	7848	7158
523	7858	7138
524	7865	7116
525	7876	7097
526	7886	7078
527	7901	7063
528	7925	7056
529	7942	7043
530	7957	7028
531	7971	7012
532	7981	6993
533	7995	6977
534	8007	6960
535	8017	6940
536	8034	6927
537	8048	6911
538	8065	6898
539	8079	6882
540	8090	6864
541	8104	6848
542	8115	6829
543	8131	6815
544	8141	6797
545	8156	6781
546	8166	6763
547	8176	6743
548	8188	6726
549	8198	6707
550	8214	6693
551	8226	6676
552	8240	6660
553	8250	6642
554	8265	6627
555	8276	6609
556	8286	6590
557	8298	6573
558	8302	6549
559	8317	6535
560	8328	6517
561	8343	6502
562	8354	6484
563	8368	6469
564	8380	6451
565	8395	6437
566	8408	6421
567	8423	6406
568	8442	6394
569	8455	6378
570	8470	6364
571	8481	6346
572	8495	6330
573	8505	6312
574	8520	6297
575	8532	6280
576	8537	6258
577	8555	6246
578	8564	6227
579	8580	6213
580	8590	6195
581	8604	6180
582	8609	6158
583	8625	6144
584	8638	6128
585	8648	6109
586	8663	6095
587	8673	6077
588	8687	6062
589	8698	6044
590	8712	6029
591	8722	6011
592	8737	5996
593	8751	5981
594	8767	5967
595	8790	5958
596	8816	5951
597	8828	5934
598	8849	5924
599	8858	5905
600	8871	5889
601	8884	5874
602	8909	5865
603	8923	5850
604	8936	5834
605	8956	5822
606	8970	5807
607	8982	5791
608	8999	5778
609	9024	5769
610	9034	5751
611	9049	5737
612	9060	5720
613	9098	5719
614	9116	5707
615	9132	5693
616	9143	5675
617	9159	5661
618	9168	5643
619	9178	5625
620	9191	5609
621	9202	5592
622	9217	5577
623	9229	5561
624	9245	5547
625	9258	5531
626	9273	5516
627	9284	5499
628	9302	5486
629	9323	5475
630	9339	5461
631	9362	5451
632	9382	5439
633	9415	5435
634	9446	5429
635	9478	5424
636	9500	5413
637	9532	5408
638	9595	5421
639	9646	5425
640	9675	5418
641	9715	5417
642	9731	5403
643	9747	5388
644	9763	5373
645	9776	5357
646	9790	5341
647	9801	5324
648	9817	5309
649	9829	5292
650	9841	5275
651	9858	5261
652	9868	5243
653	9882	5228
654	9892	5210
655	9908	5195
656	9926	5182
657	9950	5171
658	9969	5158
659	10007	5155
660	10019	5138
661	10033	5122
662	10047	5107
663	10067	5094
664	10083	5079
665	10114	5072
666	10128	5056
667	10141	5040
668	10160	5026
669	10171	5009
670	10186	4994
671	10196	4976
672	10210	4961
673	10221	4943
674	10235	4928
675	10249	4912
676	10261	4895
677	10278	4881
678	10301	4870
679	10329	4861
680	10350	4848
681	10378	4839
682	10395	4824
683	10420	4813
684	10440	4801
685	10474	4794
686	10492	4780
687	10517	4769
688	10527	4752
689	10545	4737
690	10563	4723
691	10584	4711
692	10599	4695
693	10617	4681
694	10632	4666
695	10656	4654
696	10672	4639
697	10686	4623
698	10696	4605
699	10710	4590
700	10725	4574
701	10735	4557
702	10750	4541
703	10755	4522
704	10770	4506
705	10781	4489
706	10789	4471
707	10803	4455
708	10822	4441
709	10836	4426
710	10846	4408
711	10855	4390
712	10867	4374
713	10877	4357
714	10891	4341
715	10902	4324
716	10916	4308
717	10927	4291
718	10949	4279
719	10965	4264
720	10983	4250
721	10994	4233
722	11008	4217
723	11017	4200
724	11032	4184
725	11041	4167
726	11051	4150
727	11065	4134
728	11077	4117
729	11091	4102
730	11101	4085
731	11115	4069
732	11128	4053
733	11143	4038
734	11155	4021
735	11164	4004
736	11181	3990
737	11193	3973
738	11208	3958
739	11218	3941
740	11234	3926
741	11244	3909
742	11258	3894
743	11272	3878
744	11280	3861
745	11298	3847
746	11319	3833
747	11347	3822
748	11368	3809
749	11397	3799
750	11419	3786
751	11448	3775
752	11473	3763
753	11500	3752
754	11522	3739
755	11547	3727
756	11561	3711
757	11583	3698
758	11591	3680
759	11610	3666
760	11624	3650
761	11644	3636
762	11658	3621
763	11676	3606
764	11686	3590
765	11705	3575
766	11722	3561
767	11733	3544
768	11755	3531
769	11769	3515
770	11790	3502
771	11804	3486
772	11819	3471
773	11831	3454
774	11846	3439
775	11856	3422
776	11871	3407
777	11881	3390
778	11896	3375
779	11909	3359
780	11919	3342
781	11933	3326
782	11944	3310
783	11958	3294
784	11969	3278
785	11983	3262
786	11992	3245
787	12007	3230
788	12019	3214
789	12034	3199
790	12045	3182
791	12059	3167
792	12071	3151
793	12086	3135
794	12097	3119
795	12112	3104
796	12135	3091
797	12148	3075
798	12159	3058
799	12173	3043
800	12183	3026
801	12199	3011
802	12211	2995
803	12230	2981
804	12244	2965
805	12253	2949
806	12269	2934
807	12280	2918
808	12298	2903
809	12314	2888
810	12337	2875
811	12354	2860
812	12373	2846
813	12396	2832
814	12412	2817
815	12439	2804
816	12455	2789
817	12473	2775
818	12484	2759
819	12504	2744
820	12521	2730
821	12552	2718
822	12596	2709
823	12619	2695
824	12653	2684
825	12675	2670
826	12693	2655
827	12703	2638
828	12719	2623
829	12733	2608
830	12745	2591
831	12764	2577
832	12776	2561
833	12796	2546
834	12815	2532
835	12863	2523
836	12889	2510
837	12918	2497
838	12944	2484
839	12980	2472
840	13005	2458
841	13034	2445
842	13061	2432
843	13094	2420
844	13112	2405
845	13145	2392
846	13165	2378
847	13182	2362
848	13210	2349
849	13221	2333
850	13238	2317
851	13248	2301
852	13261	2285
853	13275	2269
854	13292	2254
855	13303	2237
856	13317	2222
857	13328	2205
858	13344	2190
859	13357	2174
860	13371	2158
861	13382	2142
862	13400	2127
863	13410	2110
864	13425	2095
865	13436	2079
866	13455	2064
867	13470	2048
868	13489	2033
869	13500	2017
870	13514	2001
871	13525	1985
872	13539	1969
873	13551	1953
874	13567	1938
875	13576	1921
876	13591	1906
877	13602	1890
878	13617	1874
879	13636	1859
880	13650	1843
881	13671	1829
882	13686	1813
883	13709	1799
884	13729	1784
885	13776	1772
886	13800	1758
887	13820	1743
888	13835	1727
889	13857	1712
890	13866	1696
891	13883	1680
892	13893	1664
893	13907	1649
894	13918	1632
895	13933	1617
896	13942	1601
897	13957	1585
898	13967	1569
899	13982	1553
900	13991	1537
901	14006	1521
902	14016	1505
903	14031	1490
904	14041	1473
905	14056	1458
906	14068	1442
907	14079	1426
908	14093	1410
909	14104	1394
910	14118	1379
911	14130	1363
912	14147	1348
913	14157	1332
914	14171	1316
915	14182	1300
916	14200	1285
917	14216	1269
918	14235	1254
919	14247	1238
920	14262	1223
921	14273	1207
922	14287	1191
923	14298	1176
924	14312	1160
925	14328	1145
926	14338	1129
927	14352	1113
928	14366	1098
929	14380	1082
930	14395	1066
931	14405	1051
932	14420	1035
933	14430	1019
934	14445	1004
935	14456	988
936	14470	972
937	14480	957
938	14494	941
939	14505	925
940	14518	910
941	14528	894
942	14544	879
943	14555	863
944	14568	847
945	14580	832
946	14595	816
947	14608	801
948	14617	785
949	14631	770
950	14642	754
951	14657	739
952	14674	723
953	14690	708
954	14700	692
955	14715	677
956	14726	661
957	14740	646
958	14753	630
959	14762	615
960	14777	599
961	14787	584
962	14802	568
963	14812	553
964	14827	537
965	14837	522
966	14857	507
967	14872	491
968	14890	476
969	14903	460
970	14917	445
971	14927	430
972	14942	414
973	14953	399
974	14967	383
975	14978	368
976	14992	352
977	15004	337
978	15020	322
979	15029	306
980	15045	291
981	15055	275
982	15070	260
983	15079	245
984	15093	229
985	15104	214
986	15121	199
987	15133	183
988	15146	168
989	15157	153
990	15172	137
991	15184	122
992	15199	107
993	15209	91
994	15224	76
995	15234	61
996	15250	45
997	15262	30
998	15271	15
999	15286	0
